Date,Open,High,Low,Close,Adj Close,Volume
1960-01-04,59.91,59.91,59.91,59.91,59.91,3990000
1960-01-05,60.389999,60.389999,60.389999,60.389999,60.389999,3710000
1960-01-06,60.130001,60.130001,60.130001,60.130001,60.130001,3730000
1960-01-07,59.689999,59.689999,59.689999,59.689999,59.689999,3310000
1960-01-08,59.5,59.5,59.5,59.5,59.5,3290000
1960-01-11,58.77,58.77,58.77,58.77,58.77,3470000
1960-01-12,58.41,58.41,58.41,58.41,58.41,3760000
1960-01-13,58.080002,58.080002,58.080002,58.080002,58.080002,3470000
1960-01-14,58.400002,58.400002,58.400002,58.400002,58.400002,3560000
1960-01-15,58.380001,58.380001,58.380001,58.380001,58.380001,3400000
1960-01-18,57.889999,57.889999,57.889999,57.889999,57.889999,3020000
1960-01-19,57.27,57.27,57.27,57.27,57.27,3100000
1960-01-20,57.07,57.07,57.07,57.07,57.07,2720000
1960-01-21,57.209999,57.209999,57.209999,57.209999,57.209999,2700000
1960-01-22,57.380001,57.380001,57.380001,57.380001,57.380001,2690000
1960-01-25,56.779999,56.779999,56.779999,56.779999,56.779999,2790000
1960-01-26,56.860001,56.860001,56.860001,56.860001,56.860001,3060000
1960-01-27,56.720001,56.720001,56.720001,56.720001,56.720001,2460000
1960-01-28,56.130001,56.130001,56.130001,56.130001,56.130001,2630000
1960-01-29,55.610001,55.610001,55.610001,55.610001,55.610001,3060000
1960-02-01,55.959999,55.959999,55.959999,55.959999,55.959999,2820000
1960-02-02,56.82,56.82,56.82,56.82,56.82,3080000
1960-02-03,56.32,56.32,56.32,56.32,56.32,3020000
1960-02-04,56.27,56.27,56.27,56.27,56.27,2600000
1960-02-05,55.98,55.98,55.98,55.98,55.98,2530000
1960-02-08,55.32,55.32,55.32,55.32,55.32,3350000
1960-02-09,55.84,55.84,55.84,55.84,55.84,2860000
1960-02-10,55.490002,55.490002,55.490002,55.490002,55.490002,2440000
1960-02-11,55.18,55.18,55.18,55.18,55.18,2610000
1960-02-12,55.459999,55.459999,55.459999,55.459999,55.459999,2230000
1960-02-15,55.169998,55.169998,55.169998,55.169998,55.169998,2780000
1960-02-16,54.73,54.73,54.73,54.73,54.73,3270000
1960-02-17,55.029999,55.029999,55.029999,55.029999,55.029999,4210000
1960-02-18,55.799999,55.799999,55.799999,55.799999,55.799999,3800000
1960-02-19,56.240002,56.240002,56.240002,56.240002,56.240002,3230000
1960-02-23,55.939999,55.939999,55.939999,55.939999,55.939999,2960000
1960-02-24,55.740002,55.740002,55.740002,55.740002,55.740002,2740000
1960-02-25,55.93,55.93,55.93,55.93,55.93,3600000
1960-02-26,56.16,56.16,56.16,56.16,56.16,3380000
1960-02-29,56.119999,56.119999,56.119999,56.119999,56.119999,2990000
1960-03-01,56.009998,56.009998,56.009998,56.009998,56.009998,2920000
1960-03-02,55.619999,55.619999,55.619999,55.619999,55.619999,3110000
1960-03-03,54.779999,54.779999,54.779999,54.779999,54.779999,3160000
1960-03-04,54.57,54.57,54.57,54.57,54.57,4060000
1960-03-07,54.02,54.02,54.02,54.02,54.02,2900000
1960-03-08,53.470001,53.470001,53.470001,53.470001,53.470001,3370000
1960-03-09,54.040001,54.040001,54.040001,54.040001,54.040001,3580000
1960-03-10,53.830002,53.830002,53.830002,53.830002,53.830002,3350000
1960-03-11,54.240002,54.240002,54.240002,54.240002,54.240002,2770000
1960-03-14,54.32,54.32,54.32,54.32,54.32,2530000
1960-03-15,54.740002,54.740002,54.740002,54.740002,54.740002,2690000
1960-03-16,55.040001,55.040001,55.040001,55.040001,55.040001,2960000
1960-03-17,54.959999,54.959999,54.959999,54.959999,54.959999,2140000
1960-03-18,55.009998,55.009998,55.009998,55.009998,55.009998,2620000
1960-03-21,55.07,55.07,55.07,55.07,55.07,2500000
1960-03-22,55.290001,55.290001,55.290001,55.290001,55.290001,2490000
1960-03-23,55.740002,55.740002,55.740002,55.740002,55.740002,3020000
1960-03-24,55.98,55.98,55.98,55.98,55.98,2940000
1960-03-25,55.98,55.98,55.98,55.98,55.98,2640000
1960-03-28,55.860001,55.860001,55.860001,55.860001,55.860001,2500000
1960-03-29,55.779999,55.779999,55.779999,55.779999,55.779999,2320000
1960-03-30,55.66,55.66,55.66,55.66,55.66,2450000
1960-03-31,55.34,55.34,55.34,55.34,55.34,2690000
1960-04-01,55.43,55.43,55.43,55.43,55.43,2260000
1960-04-04,55.540001,55.540001,55.540001,55.540001,55.540001,2450000
1960-04-05,55.369999,55.369999,55.369999,55.369999,55.369999,2840000
1960-04-06,56.509998,56.509998,56.509998,56.509998,56.509998,3450000
1960-04-07,56.52,56.52,56.52,56.52,56.52,3070000
1960-04-08,56.389999,56.389999,56.389999,56.389999,56.389999,2820000
1960-04-11,56.169998,56.169998,56.169998,56.169998,56.169998,2520000
1960-04-12,56.299999,56.299999,56.299999,56.299999,56.299999,2470000
1960-04-13,56.299999,56.299999,56.299999,56.299999,56.299999,2730000
1960-04-14,56.43,56.43,56.43,56.43,56.43,2730000
1960-04-18,56.59,56.59,56.59,56.59,56.59,3200000
1960-04-19,56.130001,56.130001,56.130001,56.130001,56.130001,3080000
1960-04-20,55.439999,55.439999,55.439999,55.439999,55.439999,3150000
1960-04-21,55.59,55.59,55.59,55.59,55.59,2700000
1960-04-22,55.419998,55.419998,55.419998,55.419998,55.419998,2850000
1960-04-25,54.860001,54.860001,54.860001,54.860001,54.860001,2980000
1960-04-26,55.040001,55.040001,55.040001,55.040001,55.040001,2940000
1960-04-27,55.040001,55.040001,55.040001,55.040001,55.040001,3020000
1960-04-28,54.560001,54.560001,54.560001,54.560001,54.560001,3190000
1960-04-29,54.369999,54.369999,54.369999,54.369999,54.369999,2850000
1960-05-02,54.130001,54.130001,54.130001,54.130001,54.130001,2930000
1960-05-03,54.830002,54.830002,54.830002,54.830002,54.830002,2910000
1960-05-04,55.040001,55.040001,55.040001,55.040001,55.040001,2870000
1960-05-05,54.860001,54.860001,54.860001,54.860001,54.860001,2670000
1960-05-06,54.75,54.75,54.75,54.75,54.75,2560000
1960-05-09,54.799999,54.799999,54.799999,54.799999,54.799999,2670000
1960-05-10,54.419998,54.419998,54.419998,54.419998,54.419998,2870000
1960-05-11,54.57,54.57,54.57,54.57,54.57,2900000
1960-05-12,54.849998,54.849998,54.849998,54.849998,54.849998,3220000
1960-05-13,55.299999,55.299999,55.299999,55.299999,55.299999,3750000
1960-05-16,55.25,55.25,55.25,55.25,55.25,3530000
1960-05-17,55.459999,55.459999,55.459999,55.459999,55.459999,4080000
1960-05-18,55.439999,55.439999,55.439999,55.439999,55.439999,5240000
1960-05-19,55.68,55.68,55.68,55.68,55.68,3700000
1960-05-20,55.73,55.73,55.73,55.73,55.73,3170000
1960-05-23,55.759998,55.759998,55.759998,55.759998,55.759998,2530000
1960-05-24,55.700001,55.700001,55.700001,55.700001,55.700001,3240000
1960-05-25,55.669998,55.669998,55.669998,55.669998,55.669998,3440000
1960-05-26,55.709999,55.709999,55.709999,55.709999,55.709999,3720000
1960-05-27,55.740002,55.740002,55.740002,55.740002,55.740002,3040000
1960-05-31,55.830002,55.830002,55.830002,55.830002,55.830002,3750000
1960-06-01,55.889999,55.889999,55.889999,55.889999,55.889999,3770000
1960-06-02,56.130001,56.130001,56.130001,56.130001,56.130001,3730000
1960-06-03,56.23,56.23,56.23,56.23,56.23,3340000
1960-06-06,56.889999,56.889999,56.889999,56.889999,56.889999,3220000
1960-06-07,57.43,57.43,57.43,57.43,57.43,3710000
1960-06-08,57.889999,57.889999,57.889999,57.889999,57.889999,3800000
1960-06-09,58.0,58.0,58.0,58.0,58.0,3820000
1960-06-10,57.970001,57.970001,57.970001,57.970001,57.970001,2940000
1960-06-13,57.990002,57.990002,57.990002,57.990002,57.990002,3180000
1960-06-14,57.91,57.91,57.91,57.91,57.91,3430000
1960-06-15,57.57,57.57,57.57,57.57,57.57,3630000
1960-06-16,57.5,57.5,57.5,57.5,57.5,3540000
1960-06-17,57.439999,57.439999,57.439999,57.439999,57.439999,3920000
1960-06-20,57.16,57.16,57.16,57.16,57.16,3970000
1960-06-21,57.110001,57.110001,57.110001,57.110001,57.110001,3860000
1960-06-22,57.279999,57.279999,57.279999,57.279999,57.279999,3600000
1960-06-23,57.59,57.59,57.59,57.59,57.59,3620000
1960-06-24,57.68,57.68,57.68,57.68,57.68,3220000
1960-06-27,57.330002,57.330002,57.330002,57.330002,57.330002,2960000
1960-06-28,56.939999,56.939999,56.939999,56.939999,56.939999,3120000
1960-06-29,56.939999,56.939999,56.939999,56.939999,56.939999,3160000
1960-06-30,56.919998,56.919998,56.919998,56.919998,56.919998,2940000
1960-07-01,57.060001,57.060001,57.060001,57.060001,57.060001,2620000
1960-07-05,57.02,57.02,57.02,57.02,57.02,2780000
1960-07-06,56.939999,56.939999,56.939999,56.939999,56.939999,2970000
1960-07-07,57.240002,57.240002,57.240002,57.240002,57.240002,3050000
1960-07-08,57.380001,57.380001,57.380001,57.380001,57.380001,3010000
1960-07-11,56.869999,56.869999,56.869999,56.869999,56.869999,2920000
1960-07-12,56.25,56.25,56.25,56.25,56.25,2860000
1960-07-13,56.099998,56.099998,56.099998,56.099998,56.099998,2590000
1960-07-14,56.119999,56.119999,56.119999,56.119999,56.119999,2480000
1960-07-15,56.049999,56.049999,56.049999,56.049999,56.049999,2140000
1960-07-18,55.700001,55.700001,55.700001,55.700001,55.700001,2350000
1960-07-19,55.700001,55.700001,55.700001,55.700001,55.700001,2490000
1960-07-20,55.610001,55.610001,55.610001,55.610001,55.610001,2370000
1960-07-21,55.099998,55.099998,55.099998,55.099998,55.099998,2510000
1960-07-22,54.720001,54.720001,54.720001,54.720001,54.720001,2850000
1960-07-25,54.18,54.18,54.18,54.18,54.18,2840000
1960-07-26,54.509998,54.509998,54.509998,54.509998,54.509998,2720000
1960-07-27,54.169998,54.169998,54.169998,54.169998,54.169998,2560000
1960-07-28,54.57,54.57,54.57,54.57,54.57,3020000
1960-07-29,55.509998,55.509998,55.509998,55.509998,55.509998,2730000
1960-08-01,55.529999,55.529999,55.529999,55.529999,55.529999,2440000
1960-08-02,55.040001,55.040001,55.040001,55.040001,55.040001,2090000
1960-08-03,54.720001,54.720001,54.720001,54.720001,54.720001,2470000
1960-08-04,54.889999,54.889999,54.889999,54.889999,54.889999,2840000
1960-08-05,55.439999,55.439999,55.439999,55.439999,55.439999,3000000
1960-08-08,55.52,55.52,55.52,55.52,55.52,2960000
1960-08-09,55.84,55.84,55.84,55.84,55.84,2700000
1960-08-10,56.07,56.07,56.07,56.07,56.07,2810000
1960-08-11,56.279999,56.279999,56.279999,56.279999,56.279999,3070000
1960-08-12,56.66,56.66,56.66,56.66,56.66,3160000
1960-08-15,56.610001,56.610001,56.610001,56.610001,56.610001,2450000
1960-08-16,56.720001,56.720001,56.720001,56.720001,56.720001,2710000
1960-08-17,56.84,56.84,56.84,56.84,56.84,3090000
1960-08-18,56.810001,56.810001,56.810001,56.810001,56.810001,2890000
1960-08-19,57.009998,57.009998,57.009998,57.009998,57.009998,2570000
1960-08-22,57.189999,57.189999,57.189999,57.189999,57.189999,2760000
1960-08-23,57.75,57.75,57.75,57.75,57.75,3560000
1960-08-24,58.07,58.07,58.07,58.07,58.07,3500000
1960-08-25,57.790001,57.790001,57.790001,57.790001,57.790001,2680000
1960-08-26,57.599998,57.599998,57.599998,57.599998,57.599998,2780000
1960-08-29,57.439999,57.439999,57.439999,57.439999,57.439999,2780000
1960-08-30,56.84,56.84,56.84,56.84,56.84,2890000
1960-08-31,56.959999,56.959999,56.959999,56.959999,56.959999,3130000
1960-09-01,57.09,57.09,57.09,57.09,57.09,3460000
1960-09-02,57.0,57.0,57.0,57.0,57.0,2680000
1960-09-06,56.490002,56.490002,56.490002,56.490002,56.490002,2580000
1960-09-07,55.790001,55.790001,55.790001,55.790001,55.790001,2850000
1960-09-08,55.740002,55.740002,55.740002,55.740002,55.740002,2670000
1960-09-09,56.110001,56.110001,56.110001,56.110001,56.110001,2750000
1960-09-12,55.720001,55.720001,55.720001,55.720001,55.720001,2160000
1960-09-13,55.830002,55.830002,55.830002,55.830002,55.830002,2180000
1960-09-14,55.439999,55.439999,55.439999,55.439999,55.439999,2530000
1960-09-15,55.220001,55.220001,55.220001,55.220001,55.220001,2870000
1960-09-16,55.110001,55.110001,55.110001,55.110001,55.110001,2340000
1960-09-19,53.860001,53.860001,53.860001,53.860001,53.860001,3790000
1960-09-20,54.009998,54.009998,54.009998,54.009998,54.009998,3660000
1960-09-21,54.57,54.57,54.57,54.57,54.57,2930000
1960-09-22,54.360001,54.360001,54.360001,54.360001,54.360001,1970000
1960-09-23,53.900002,53.900002,53.900002,53.900002,53.900002,2580000
1960-09-26,53.060001,53.060001,53.060001,53.060001,53.060001,3930000
1960-09-27,52.939999,52.939999,52.939999,52.939999,52.939999,3170000
1960-09-28,52.48,52.48,52.48,52.48,52.48,3520000
1960-09-29,52.619999,52.619999,52.619999,52.619999,52.619999,2850000
1960-09-30,53.52,53.52,53.52,53.52,53.52,3370000
1960-10-03,53.360001,53.360001,53.360001,53.360001,53.360001,2220000
1960-10-04,52.990002,52.990002,52.990002,52.990002,52.990002,2270000
1960-10-05,53.389999,53.389999,53.389999,53.389999,53.389999,2650000
1960-10-06,53.720001,53.720001,53.720001,53.720001,53.720001,2510000
1960-10-07,54.029999,54.029999,54.029999,54.029999,54.029999,2530000
1960-10-10,54.139999,54.139999,54.139999,54.139999,54.139999,2030000
1960-10-11,54.220001,54.220001,54.220001,54.220001,54.220001,2350000
1960-10-12,54.150002,54.150002,54.150002,54.150002,54.150002,1890000
1960-10-13,54.57,54.57,54.57,54.57,54.57,2220000
1960-10-14,54.860001,54.860001,54.860001,54.860001,54.860001,2470000
1960-10-17,54.630001,54.630001,54.630001,54.630001,54.630001,2280000
1960-10-18,54.349998,54.349998,54.349998,54.349998,54.349998,2220000
1960-10-19,54.25,54.25,54.25,54.25,54.25,2410000
1960-10-20,53.860001,53.860001,53.860001,53.860001,53.860001,2910000
1960-10-21,53.720001,53.720001,53.720001,53.720001,53.720001,3090000
1960-10-24,52.700001,52.700001,52.700001,52.700001,52.700001,4420000
1960-10-25,52.200001,52.200001,52.200001,52.200001,52.200001,3030000
1960-10-26,53.049999,53.049999,53.049999,53.049999,53.049999,3020000
1960-10-27,53.619999,53.619999,53.619999,53.619999,53.619999,2900000
1960-10-28,53.41,53.41,53.41,53.41,53.41,2490000
1960-10-31,53.389999,53.389999,53.389999,53.389999,53.389999,2460000
1960-11-01,53.939999,53.939999,53.939999,53.939999,53.939999,2600000
1960-11-02,54.220001,54.220001,54.220001,54.220001,54.220001,2780000
1960-11-03,54.43,54.43,54.43,54.43,54.43,2580000
1960-11-04,54.900002,54.900002,54.900002,54.900002,54.900002,3050000
1960-11-07,55.110001,55.110001,55.110001,55.110001,55.110001,3540000
1960-11-09,55.349998,55.349998,55.349998,55.349998,55.349998,3450000
1960-11-10,56.43,56.43,56.43,56.43,56.43,4030000
1960-11-11,55.869999,55.869999,55.869999,55.869999,55.869999,2730000
1960-11-14,55.59,55.59,55.59,55.59,55.59,2660000
1960-11-15,55.810001,55.810001,55.810001,55.810001,55.810001,2990000
1960-11-16,55.700001,55.700001,55.700001,55.700001,55.700001,3110000
1960-11-17,55.549999,55.549999,55.549999,55.549999,55.549999,2450000
1960-11-18,55.82,55.82,55.82,55.82,55.82,2760000
1960-11-21,55.93,55.93,55.93,55.93,55.93,3090000
1960-11-22,55.720001,55.720001,55.720001,55.720001,55.720001,3430000
1960-11-23,55.799999,55.799999,55.799999,55.799999,55.799999,3000000
1960-11-25,56.130001,56.130001,56.130001,56.130001,56.130001,3190000
1960-11-28,56.029999,56.029999,56.029999,56.029999,56.029999,3860000
1960-11-29,55.830002,55.830002,55.830002,55.830002,55.830002,3630000
